PAGOS;MONTO;COMUNA;REGION;URBANIDAD;FPAGO;TIPOBENEFICIO;COBROMARZO;FEC_NAC;FEC_DEF;FALLECIDO;SEXO;ECIVIL;NACIONALIDAD;ESTADO;NOCOBRO
2;339240;SAN FELIPE;VALPARAISO;URBANO;CORREO;PREVISIONAL;NO;2/02/1923;;NO;F;SOLTERO;C;CADUCADO;1
1;317147;VILLA ALEMANA;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;6/07/1925;;NO;F;CASADO;C;PAGADO;0
1;363073;SAN BERNARDO;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;14/12/1925;;NO;F;CASADO;C;PAGADO;0
1;170271;ARICA;ARICA;URBANO;CORREO;PREVISIONAL;NO;15/01/1922;;NO;F;CASADO;C;PAGADO;0
1;301414;LOS ANGELES;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;17/08/1927;;NO;F;SOLTERO;C;PAGADO;0
1;176096;LAS CONDES;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;18/02/1934;;NO;F;CASADO;C;PAGADO;0
1;168455;ARICA;ARICA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;21/11/1923;;NO;F;SOLTERO;C;CADUCADO;1
1;168455;VILLA ALEMANA;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;2/05/1923;;NO;F;SOLTERO;C;PAGADO;0
1;301414;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;16/07/1928;;NO;F;SOLTERO;C;PAGADO;0
1;170277;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;27/09/1924;;NO;F;CASADO;C;PAGADO;0
1;176096;EL BOSQUE;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;14/08/1928;;NO;F;SOLTERO;C;PAGADO;0
1;183092;ÑUÑOA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;20/08/1923;;NO;F;CASADO;C;CADUCADO;1
1;176096;RANCAGUA;OHIGGINS;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;5/01/1920;;NO;F;SOLTERO;C;PAGADO;0
2;445204;TEMUCO;LA ARAUCANIA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;6/07/1927;;NO;F;CASADO;C;PAGADO;0
1;301414;INDEPENDENCIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;21/04/1927;;NO;F;CASADO;C;PAGADO;0
1;298409;INDEPENDENCIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;7/11/1918;;NO;F;CASADO;C;PAGADO;0
1;752218;ÑUÑOA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;SI;19/04/1924;;NO;M;CASADO;C;CADUCADO;1
1;176096;HUALPEN;BIO-BIO;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;1/01/1923;;NO;M;CASADO;C;PAGADO;0
1;176096;VILLARRICA;LA ARAUCANIA;URBANO;RURAL;PENSION BASICA SOLIDARIA;NO;30/11/1925;;NO;M;CASADO;C;CADUCADO;1
1;666462;TOCOPILLA;ANTOFAGASTA;SEMIURBANO;SUCURSAL BECH;PREVISIONAL;NO;28/05/1928;;NO;F;;C;PAGADO;0
2;390653;CONCEPCION;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;2/02/1920;;NO;F;;C;CADUCADO;1
1;117342;CONCEPCION;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;20/08/1921;;NO;F;CASADO;C;PAGADO;0
1;165790;CURACAUTIN;LA ARAUCANIA;SEMIURBANO;CORREO;PREVISIONAL;SI;17/03/1927;;NO;M;CASADO;C;PAGADO;0
1;679647;LAS CONDES;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;24/06/1922;;NO;F;SOLTERO;C;PAGADO;0
1;301414;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;6/11/1924;;NO;M;DIVORCIADO;C;PAGADO;0
1;183094;LIMACHE;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;7/07/1912;;NO;M;CASADO;C;CADUCADO;1
1;138437;LAS CONDES;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;5/09/1921;;NO;F;SOLTERO;C;CADUCADO;1
2;46361;LA SERENA;COQUIMBO;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;22/01/1926;;NO;F;SOLTERO;C;PAGADO;0
1;292056;SAN MIGUEL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;8/05/1927;;NO;F;SOLTERO;C;CADUCADO;1
1;168455;TALCA;MAULE;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;3/03/1928;;NO;F;CASADO;C;PAGADO;0
1;13832;LAS CONDES;METROPOLITANA;URBANO;CORREO;PREVISIONAL;SI;25/05/1926;;NO;M;CASADO;C;PAGADO;0
1;298409;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;27/09/1925;;NO;F;SOLTERO;C;CADUCADO;1
1;21209;ÑUÑOA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;SI;15/04/1933;;NO;F;DIVORCIADO;C;PAGADO;0
1;170271;SAN BERNARDO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;12/10/1924;;NO;F;CASADO;C;CADUCADO;1
1;462536;VITACURA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;13/09/1924;;NO;F;CASADO;C;PAGADO;0
1;1880;OSORNO;LOS LAGOS;URBANO;CORREO;SAFEM;SI;25/03/1920;;NO;F;CASADO;C;CADUCADO;1
1;176096;QUILLON;ÑUBLE;SEMIURBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;16/02/1931;;NO;F;CASADO;C;PAGADO;0
1;585559;ÑUÑOA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;30/12/1927;;NO;F;CASADO;C;PAGADO;0
1;298409;MAIPU;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;9/09/1921;;NO;M;CASADO;C;PAGADO;0
1;374439;PUENTE ALTO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;7/11/1923;;NO;M;CASADO;C;CADUCADO;1
1;11918;TALCA;MAULE;URBANO;CORREO;SAFEM;NO;15/01/1923;;NO;M;CASADO;C;CADUCADO;1
1;209895;ANCUD;LOS LAGOS;SEMIURBANO;PLAZA DE PAGO;PREVISIONAL;NO;25/12/1935;;NO;F;CASADO;C;PAGADO;0
2;697391;VILLA ALEMANA;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;4/04/1927;;NO;F;;C;PAGADO;0
1;241297;ÑUÑOA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;23/01/1927;;NO;M;CASADO;C;PAGADO;0
1;310397;QUILLOTA;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;30/03/1920;;NO;F;SOLTERO;C;PAGADO;0
1;181272;ARICA;ARICA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;11/05/1923;;NO;F;SOLTERO;C;PAGADO;0
1;286810;PROVIDENCIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;1/09/1924;;NO;F;SOLTERO;C;PAGADO;0
1;174335;VILLA ALEMANA;VALPARAISO;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;15/07/1924;;NO;M;CASADO;C;PAGADO;0
1;174335;ÑUÑOA;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;SI;13/01/1932;;NO;F;;C;CADUCADO;1
1;182287;PAINE;METROPOLITANA;URBANO;CORREO;PREVISIONAL;SI;13/06/1927;;NO;M;CASADO;C;CADUCADO;1
1;36625;VIÑA DEL MAR;VALPARAISO;URBANO;PLAZA DE PAGO;BONO POR HIJO;NO;23/10/1923;;NO;F;SOLTERO;C;PAGADO;0
1;121460;RENCA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;15/03/1925;;NO;F;CASADO;C;CADUCADO;1
1;7781;LAS CONDES;METROPOLITANA;URBANO;PLAZA DE PAGO;BONO POR HIJO;SI;13/11/1929;;NO;F;CASADO;C;PAGADO;0
1;224714;SANTIAGO;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;12/10/1918;;NO;F;CASADO;C;PAGADO;0
2;305549;VIÑA DEL MAR;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;1/11/1931;;NO;M;SOLTERO;C;PAGADO;0
1;295875;LA FLORIDA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;10/10/1925;;NO;F;SOLTERO;C;PAGADO;0
1;369321;VIÑA DEL MAR;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;12/04/1925;;NO;M;CASADO;C;CADUCADO;1
1;309741;TOME;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;28/11/1924;;NO;M;CASADO;C;CADUCADO;1
1;504054;LA REINA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;12/05/1922;;NO;F;SOLTERO;C;PAGADO;0
1;298180;LAS CONDES;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;16/01/1924;26/03/2022;SI;M;SOLTERO;C;PAGADO;0
1;797568;LA CISTERNA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;26/11/1927;28/03/2022;SI;F;SOLTERO;C;PAGADO;0
1;301408;YUNGAY;ÑUBLE;SEMIURBANO;SUCURSAL BECH;PREVISIONAL;NO;29/02/1924;;NO;F;CASADO;C;PAGADO;0
1;301414;CONCHALI;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;20/07/1925;;NO;F;SOLTERO;C;CADUCADO;1
1;176096;SAN JOAQUIN;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;6/11/1919;;NO;F;SOLTERO;C;PAGADO;0
1;181272;CURICO;MAULE;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;15/04/1929;;NO;F;CASADO;C;PAGADO;0
1;298409;LA SERENA;COQUIMBO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;14/01/1924;;NO;M;CASADO;C;PAGADO;0
1;1880;VICUÑA;COQUIMBO;SEMIURBANO;CORREO;SAFEM;SI;10/08/1930;;NO;M;CASADO;C;CADUCADO;1
1;229444;ESTACION CENTRAL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;12/08/1930;;NO;M;;C;PAGADO;0
1;256655;SAN FERNANDO;OHIGGINS;URBANO;CORREO;PREVISIONAL;NO;27/02/1931;;NO;M;CASADO;C;PAGADO;0
1;301408;SAN MIGUEL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;13/02/1925;;NO;F;;C;PAGADO;0
1;137049;LAS CONDES;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;4/06/1923;;NO;F;CASADO;C;CADUCADO;1
1;239005;SANTIAGO;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;16/12/1925;;NO;M;CASADO;C;CADUCADO;1
1;52183;LO BARNECHEA;METROPOLITANA;URBANO;PLAZA DE PAGO;BONO POR HIJO;NO;27/11/1928;11/03/2022;SI;F;CASADO;C;PAGADO;0
1;181266;LA SERENA;COQUIMBO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;6/04/1924;;NO;F;SOLTERO;C;CADUCADO;1
1;170271;VALPARAISO;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;13/01/1924;;NO;F;CASADO;C;CADUCADO;1
1;1880;SAN FRANCISCO DE MOSTAZAL;OHIGGINS;SEMIURBANO;CORREO;SAFEM;NO;13/03/1928;;NO;M;SOLTERO;C;CADUCADO;1
1;298409;CURICO;MAULE;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;21/10/1921;;NO;F;SOLTERO;C;PAGADO;0
1;476419;QUILPUE;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;16/07/1933;;NO;F;CASADO;C;PAGADO;0
1;295765;MACUL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;26/06/1925;;NO;F;CASADO;C;CADUCADO;1
1;298409;ARAUCO;BIO-BIO;SEMIURBANO;PLAZA DE PAGO;PREVISIONAL;SI;3/02/1923;;NO;F;;C;PAGADO;0
1;176096;IQUIQUE;TARAPACA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;5/01/1916;;NO;F;SOLTERO;C;CADUCADO;1
1;392802;QUINTA NORMAL;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;20/10/1932;;NO;M;;C;PAGADO;0
1;170271;VIÑA DEL MAR;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;25/12/1928;;NO;F;SOLTERO;C;PAGADO;0
1;9043;MULCHEN;BIO-BIO;SEMIURBANO;CORREO;SAFEM;SI;6/10/1927;;NO;M;CASADO;C;CADUCADO;1
1;176096;VALDIVIA;LOS RIOS;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;1/12/1924;;NO;F;CASADO;C;CADUCADO;1
1;181272;ARAUCO;BIO-BIO;SEMIURBANO;PLAZA DE PAGO;PREVISIONAL;NO;20/01/1927;;NO;M;CASADO;C;CADUCADO;1
1;205309;PUENTE ALTO;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;12/10/1942;;NO;M;CASADO;C;PAGADO;0
1;298409;SAN BERNARDO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;11/06/1929;;NO;F;SOLTERO;C;PAGADO;0
1;446893;PROVIDENCIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;4/03/1925;;NO;F;CASADO;C;CADUCADO;1
1;170271;VIÑA DEL MAR;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;11/02/1925;;NO;F;SOLTERO;C;PAGADO;0
1;167832;LAS CONDES;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;27/01/1928;;NO;M;SOLTERO;C;CADUCADO;1
1;1880;CASABLANCA;VALPARAISO;SEMIURBANO;CORREO;SAFEM;NO;5/04/1928;;NO;M;CASADO;C;CADUCADO;1
1;633448;TALCA;MAULE;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;31/03/1933;;NO;F;SOLTERO;C;PAGADO;0
2;1744471;LAS CONDES;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;7/01/1926;;NO;F;CASADO;C;PAGADO;0
2;1382040;INDEPENDENCIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;13/12/1920;;NO;F;SOLTERO;C;PAGADO;0
1;325599;SAN MIGUEL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;5/07/1926;;NO;M;CASADO;C;PAGADO;0
1;301414;SAN MIGUEL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;15/07/1926;;NO;F;CASADO;C;PAGADO;0
1;296730;SAN MIGUEL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;24/07/1927;;NO;M;CASADO;C;PAGADO;0
1;607422;TALAGANTE;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;24/08/1930;;NO;M;CASADO;C;PAGADO;0
1;55340;QUILICURA;METROPOLITANA;URBANO;SUCURSAL BECH;CSV LEMANS;NO;27/12/1940;;NO;F;CASADO;C;CADUCADO;1
1;286681;PORTEZUELO;ÑUBLE;RURAL;CORREO;PREVISIONAL;NO;31/07/1926;;NO;M;;C;CADUCADO;1
1;317527;VIÑA DEL MAR;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;12/04/1930;;NO;F;CASADO;C;PAGADO;0
1;108270;CHIGUAYANTE;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;9/02/1925;;NO;F;CASADO;C;CADUCADO;1
1;124116;QUILLOTA;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;2/09/1925;;NO;F;CASADO;C;CADUCADO;1
1;296601;RANCAGUA;OHIGGINS;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;3/06/1928;;NO;F;;C;PAGADO;0
1;174335;CASTRO;LOS LAGOS;URBANO;RURAL;PENSION BASICA SOLIDARIA;NO;10/05/1922;;NO;M;CASADO;C;CADUCADO;1
1;301414;ANGOL;LA ARAUCANIA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;9/07/1925;;NO;F;SOLTERO;C;CADUCADO;1
1;176096;OSORNO;LOS LAGOS;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;15/02/1924;;NO;M;CASADO;C;PAGADO;0
1;158126;CERRO NAVIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;8/03/1941;;NO;M;CASADO;C;PAGADO;0
1;181272;PUERTO NATALES;MAGALLANES;SEMIURBANO;SUCURSAL BECH;PREVISIONAL;NO;9/04/1931;;NO;M;SOLTERO;C;PAGADO;0
1;298409;QUINTA NORMAL;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;8/11/1926;;NO;M;CASADO;C;PAGADO;0
1;278781;ESTACION CENTRAL;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;3/09/1928;;NO;F;CASADO;C;PAGADO;0
1;159141;LAS CONDES;METROPOLITANA;URBANO;CORREO;PREVISIONAL;SI;22/12/1923;;NO;F;;C;PAGADO;0
1;816613;PUERTO MONTT;LOS LAGOS;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;8/07/1925;;NO;F;CASADO;C;PAGADO;0
1;17243;VITACURA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;14/06/1928;;NO;M;SOLTERO;C;CADUCADO;1
1;396277;ESTACION CENTRAL;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;10/01/1928;;NO;M;CASADO;C;PAGADO;0
1;301414;VALDIVIA;LOS RIOS;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;23/08/1922;;NO;F;;C;PAGADO;0
1;550728;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;19/07/1925;;NO;F;CASADO;C;PAGADO;0
2;934117;ÑUÑOA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;18/10/1932;;NO;M;CASADO;C;PAGADO;0
1;395935;CHILLAN;ÑUBLE;URBANO;CORREO;PREVISIONAL;NO;28/05/1923;;NO;F;SOLTERO;C;PAGADO;0
1;368270;CALAMA;ANTOFAGASTA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;25/07/1927;;NO;M;;C;PAGADO;0
1;1128;RANCAGUA;OHIGGINS;URBANO;CORREO;SAFEM;SI;8/09/1931;;NO;F;CASADO;C;PAGADO;0
1;176096;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;19/09/1924;;NO;M;SOLTERO;C;PAGADO;0
1;183094;ÑUÑOA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;26/02/1926;;NO;F;;C;PAGADO;0
1;237492;SAN MIGUEL;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;24/09/1926;;NO;F;CASADO;C;PAGADO;0
1;420039;PROVIDENCIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;21/06/1925;;NO;M;CASADO;C;PAGADO;0
1;45794;HUECHURABA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;3/08/1931;;NO;F;SOLTERO;C;CADUCADO;1
